20-91,36-157,50-218,75-320
162.4625,187.525,1071.665,4333.985
108.0775,147.99,614.805,1298.1925
97.8975,1679.21,315.355,1107.4975
58.01,124.2275,786.375,1335.61
434.49,133.8025,391.86,3649.1925
110.64,671.7525,841.6475,877.3325
43.11,138.39,730.36,1273.7725
25.5775,157.8275,291.3,2444.495
50.93,130.8075,9635.545,11116.0975
29.525,84.6275,1371.0325,30991.525
102.4175,580.9275,433.885,2837.2325
33.8225,384.415,1335.205,8597.2825
69.78,140.71,584.2275,16673.3575
131.855,146.9175,584.6075,3372.375
51.575,91.2375,247.665,560.2
114.8625,1601.0325,3102.7175,474.3225
55.5575,206.6,1360.9375,4255.7675
181.0175,1290.8725,1199.4025,3432.3625
85.69,518.6825,372.2925,6400.43
22.415,487.13,2684.715,2039.5125
249.7825,27.1775,414.5575,1125.5275
215.0325,387.8475,1894.805,2726.58
183.5825,1132.1425,350.275,980.6
104.585,1042.2175,354.7275,3128.145
55.215,1183.3925,1238.425,941.325
161.63,347.23,4816.0925,2343.22
99.395,916.2,4732.1225,2838.31
82.4775,480.3125,656.59,1250.9225
31.02,268.37,1116.9725,9404.305
77.055,92.34,281.085,11822.0175
463.015,127.2,771.595,621.8125
29.97,373.15,296.48,2216.55
38.5375,245.79,1774.48,8839.6475
111.8975,2746.8325,980.0625,2404.7175
35.5075,653.5775,1389.87,12772.75
175.6975,410.225,2982.9675,2583.6925
77.125,9570.445,151.47,4352.155
171.565,207.69,1549.33,1522.0525
79.77,269.91,1356.0125,5385.595
375.45,512.855,1416.715,567.785
53.9825,214.9725,1974.3675,5301.34
63.9625,66.115,740.775,11289.9325
141.9525,1431.8475,273.1425,1785.835
160.5275,289.0875,621.0925,836.2775
95.4875,28.29,857.9675,10654.7125
54.895,703.8075,29223.485,5024.3625
124.2725,566.9375,1876.5375,3341.205
66.365,584.995,1089.385,625.2525
340.7925,355.5825,1218.4675,5965.4025
59.785,634.4725,738.5625,464.2075
41.0775,934.3725,1799.89,4029.05
208.86,1528.005,1709.1175,578.7425
212.3975,374.215,1448.715,5941.9375
459.0975,175.955,1071.745,2627.375
42.0125,707.66,2671.8825,916.9475
96.25,874.3375,717.08,866.6075
171.9525,87.0375,1408.3075,11473.085
323.07,298.7375,1213.9325,1960.9575
203.445,614.01,1053.665,17703.1225
73.7725,1218.8425,978.81,16306.19
237.235,451.4075,1697.8675,14635.6675
153.7,549.2275,777.77,2443.6925
52.81,477.33,901.455,1437.2625
43.9325,2339.3,877.765,283.395
57.7725,284.985,505.5975,2023.9375
80.63,356.6675,2583.6725,1026.0575
27.685,49.615,528.1675,2584.5825
56.52,169.245,1253.09,1849.6675
265.7775,308.635,494.1675,3236.265
143.7825,563.3525,1385.76,428.12
131.5,305.7875,1659.9175,3144.5775
739.025,103.1675,103.235,1025.0125
177.085,124.58,2980.815,21396.675
